mof_id,pore_dimension,PLD,LCD,SSA,porosity,density,capa_mass,capa_volume,095_current
imof-91,3,12.97385,20.37907,3939.98,0.54136,0.420622357,145.361083,61.14212135,1.150925496
imof-92,1,6.42168,7.22961,1578.62,0.07446,1.115597118,88.32397534,98.5339723,0.043315755
imof-93,1,6.84157,7.47498,455.806,0.06634,1.66341286,17.83773951,29.67152529,0.040542795
imof-94,1,9.7086,10.74305,1228.66,0.24588,1.203685467,96.32008829,115.9390905,0.18821406
imof-95,1,6.00177,7.39729,655.022,0.05436,1.158430025,15.98848484,18.52154089,0.069031023
imof-96,3,15.19041,20.47727,4990.48,0.58544,0.329059697,210.1103607,69.1388517,2.368287606
imof-97,1,5.55358,7.07039,439.332,0.03294,1.27761892,14.22782814,18.17774243,0.14978268
imof-98,1,7.81133,9.73673,689.439,0.09978,1.276279733,25.12341097,32.06450026,0.014410637
imof-99,1,20.23786,20.58524,1260.08,0.368,0.776273287,86.55769113,67.19242344,0.66403202
imof-100,1,20.36891,20.7168,1282.12,0.3712,0.770470851,87.75149521,67.6099692,0.872403037
imof-101,1,21.4658,21.76738,1427.42,0.41694,0.749002444,93.59880312,70.10573226,0.824199867
imof-102,1,21.01539,21.20651,1338.73,0.38092,0.74900455,89.42410784,66.97906367,1.055598605
imof-103,1,4.37021,4.65931,433,0.0136,1.364455474,24.33894866,33.20941174,0.056974688
imof-104,3,12.82232,20.11289,2089.81,0.49064,0.792364255,78.36825655,62.09620522,1.007104464
imof-105,3,15.33359,20.59468,3456.72,0.56766,0.45025446,137.7930339,62.04192806,1.918232601
imof-106,1,7.9228,9.06567,1116.27,0.1276,1.05136522,69.71089578,73.29161126,0.087613233
imof-107,2,9.75357,10.85493,2343.92,0.26438,0.730128668,140.878151,102.8591768,0.447128819
imof-108,1,7.36676,7.49696,1141.39,0.1359,1.287779073,58.80910542,75.73313527,0.057220563
imof-109,3,7.89024,19.74796,4994.47,0.47852,0.406924573,198.838487,80.91226638,0.578962134
imof-110,1,6.09379,6.56383,929.26,0.0629,1.090922209,37.6777857,41.10353321,0.144176753
imof-111,1,6.25307,9.19507,788.682,0.0977,1.250455378,17.89521516,22.37716803,0.025170772
imof-112,1,19.85417,19.98792,1465.03,0.33218,0.794868118,101.0393745,80.31297744,0.630273447
imof-113,1,10.63038,11.21959,944.708,0.16198,1.167111543,71.02650485,82.89585366,0.412633327
imof-114,1,11.864,12.57079,2197.87,0.28998,0.756315558,163.1174367,123.3682552,0.374232012
imof-115,3,13.04286,24.75091,4920.11,0.62808,0.312545857,164.5858372,51.44062155,2.694805706
imof-116,3,7.99588,13.75266,4660.63,0.41064,0.480673412,200.7480544,96.49425225,0.417624847
imof-117,3,11.22344,13.77471,4344,0.3701,0.562583329,157.3078475,88.49877252,0.705334616
imof-118,1,10.91118,11.90206,973.923,0.15982,0.975903025,80.94358886,78.99309321,0.201324979
imof-119,1,8.67814,9.86947,969.505,0.16702,1.325616174,64.12714782,85.00798435,0.064486592
imof-120,1,7.24205,8.23028,604.381,0.07822,1.470496729,43.10788531,63.39000433,0.160568464
imof-121,1,9.5738,10.00625,2109.98,0.24608,0.780504252,174.9393023,136.5408693,0.34084371
imof-122,3,11.1742,16.68286,5186.98,0.61804,0.304924179,207.9041185,63.3949927,3.06075904
imof-123,1,10.24279,10.49753,664.317,0.14382,1.357577974,46.40891777,63.00372455,0.261552225
imof-124,3,14.23866,20.57787,3701.62,0.54844,0.439621423,143.011368,62.87086106,1.981562025
imof-125,1,4.88619,5.84391,857.954,0.0412,1.149028473,53.16028069,61.08267614,0.214760276
imof-126,1,6.71221,7.13874,901.625,0.11422,1.507706714,55.02928637,82.96802455,0.045972785
imof-127,1,7.04204,7.16387,1178.11,0.11768,1.208495989,54.44898959,65.80138551,0.044182738
imof-128,3,6.59931,13.67225,2985.99,0.44194,0.690597769,95.98444049,66.28664045,1.263249057
imof-129,3,8.28079,15.45113,2198.45,0.38934,0.883612336,93.87124188,82.94578731,0.514765541
imof-130,3,13.98,20.50086,3805.07,0.54612,0.450390984,152.6263824,68.74154656,1.736400655
imof-131,3,8.04794,13.17017,3021.33,0.34374,0.692099313,146.7521154,101.5670382,0.281584469
